t,x,C,a,Fd,T,W
0,1.0406272502139773,1.0406272502139773,1.0406272502139773,0.21261190379958025,2714.0621745099525,898154.617866656
1,3.1199514665125907,2.0793242162986134,1.0386969660846361,0.8488708313202602,2709.3461229643913,897359.5330640743
2,6.235908223246648,3.115956756734057,1.0366325404354435,1.9062507674751652,2704.4907908393743,896537.2520829194
3,10.386300971321445,4.150392748074796,1.034435991340739,3.3820153848174956,2699.5000731090563,895688.7360432645
4,15.568803311467624,5.182502340146181,1.0321095920713848,5.273223774985708,2694.3784280096643,894815.0482697736
5,21.780961507488882,6.212158196021257,1.029655855875076,7.576736803506792,2689.130840523951,893917.3447759183
6,29.020197359390757,7.239235851901874,1.027077655880618,10.289224420061023,2683.763138746682,892996.9363966367
7,37.28381085058868,8.263613491197923,1.0243776392960482,13.407171962566776,2678.280469265377,892054.9794495472
8,46.56901649145755,9.285205640868872,1.0215921496709495,16.927009614269117,2672.7758311489706,891102.4119013405
9,56.873081340042354,10.304064848584801,1.0188592077159282,20.845597805798626,2667.60761262604,890177.8037286795
10,68.19317441542289,11.320093075380539,1.0160282267957377,25.159220601797546,2662.381225784183,889237.1713470379
11,80.5263705807879,12.333196165365006,1.0131030899844675,29.864033643229174,2657.1048755011057,888281.9506880266
12,93.86965447630695,13.343283895519042,1.0100877301540354,34.956073217676405,2651.7868368505624,887313.5833374236
13,108.22008380975328,14.350429333446339,1.0071454379272968,40.43216310584158,2646.851383667311,886391.1704149902
14,123.57476940939269,15.354685599639412,1.0042562661930727,46.28913277567837,2642.244908619373,885504.8994338623
15,139.93076305865196,16.35599364925926,1.0013080496198512,52.523185055980214,2637.672985936562,884613.0018278718
16,157.28518449435222,17.35442143570027,0.9984277864410087,59.1313054506112,2633.465319763456,883750.7416692837
17,175.635111236475,18.349926742122804,0.9955053064225324,66.10980212747212,2629.3327402137006,882885.1679924958
18,194.9775828658398,19.342471629364788,0.9925448872419839,73.45495969829476,2625.2845457762414,882017.5216085135
19,215.3096051736329,20.33202230779309,0.9895506784283017,81.16304699423758,2621.3296928381296,881148.991934657
20,236.62819082008943,21.318585646456526,0.9865633386634366,89.23063117052591,2617.5725028195056,880297.674341178
21,258.93068265417577,22.302491834086364,0.9839061876298391,97.65713200977194,2614.8559033435063,879609.7843080036
22,282.21446488759244,23.283782233416698,0.9812903993303334,106.43984791353274,2612.4252854102756,878940.2189749911
23,306.47694818095,24.262483293357548,0.9787010599408479,115.57600709527847,2610.2403678733704,878281.8831745695
24,331.7155564499817,25.238608269031715,0.9761249756741673,125.06275562244768,2608.2653143694524,877630.4286890777
25,357.9277303223131,26.21217387233142,0.9735656032997035,134.89730330890293,2606.5077450600784,876986.7315578294
26,385.1109302967508,27.183199974437716,0.9710261021062985,145.07692699603535,2604.974537791244,876351.4769949623
27,413.26263983452515,28.151709537774327,0.9685095633366098,155.59897564057158,2603.672429002164,875725.3390781113
28,442.3807600297533,29.118120195228173,0.9664106574538472,166.46535318773593,2603.6316712335015,875328.554323458
29,472.4633471350588,30.08258710530553,0.9644669100773596,177.67550296653135,2604.1674529650195,875007.1558060163
30,503.5085051091944,31.045157974135545,0.9625708688300135,189.22779814838384,2604.9987249828673,874699.0780189367
31,535.514388398708,32.005883289513584,0.9607253153780375,201.12072329716761,2606.1319841545055,874404.7311572558
32,568.4792046158481,32.9648162171401,0.9589329276265166,213.35287791244465,2607.5735142061776,874124.4825014572
33,602.4012171191297,33.92201250328168,0.9571962861415848,225.9229798046032,2609.329404159555,873858.6529563327
34,637.2787475020056,34.87753038287585,0.955517879594172,238.82986830883385,2611.405564136018,873607.5486983283
35,673.1105676597582,35.831820157752595,0.9542897748767508,252.0779899323971,2614.8267278447647,873631.3792076348
36,709.8957655581286,36.78519789837034,0.9533777406177498,265.6705295238971,2619.24441229304,873832.4082159015
37,747.6335112360308,37.73774567790218,0.9525477795318421,279.60767898629695,2624.048448512193,874051.5776815277
38,786.323059350021,38.68954811399027,0.9518024360880863,293.88979253969177,2629.245649587575,874289.033972219
39,825.9637516208859,39.64069227086482,0.9511441568745512,308.51738969505516,2634.8426559763575,874544.913202556
40,866.5550192664722,40.591267645586235,0.9505753747214156,323.4911593674262,2640.846156957165,874819.3325632366
41,908.0963854126725,41.54136614620029,0.9500985006140514,338.81196384752263,2647.2628715252076,875112.3941866066
42,950.5879244107786,42.49153899810603,0.9501728519057442,354.48846661516825,2655.295031077765,875777.7095145019
43,994.0301407263502,43.44221631557158,0.9506773174655465,370.5280879321304,2664.6304879162108,876711.1627811063
44,1038.4236564751725,44.393515748822495,0.9512994332509199,386.9334436260988,2674.4556437314486,877666.9243379805
45,1083.76921441763,45.34555794245768,0.9520421936351862,403.7073790371242,2684.7797305191275,878645.1310148042
46,1130.0676809491779,46.298466531547795,0.9529085890901138,420.85297486337635,2695.612087778705,879645.910151576
47,1177.3200491486677,47.25236819948988,0.9539016679420862,438.3735542157011,2706.9623271008113,880669.3924087506
48,1225.527441892908,48.207392744240224,0.9550245447503429,456.27269003771863,2718.8403577277536,881715.7128167396
49,1274.6917129681724,49.1642710752644,0.9568783310241752,474.56575592542396,2732.821565273761,883308.8858113444
50,1324.8152288557676,50.12351588759512,0.9592448123307185,493.26493228681267,2748.3429367019203,885243.6801732826
51,1375.9005180714466,51.0852892156789,0.9617733280837791,512.3761435891985,2764.4929114370952,887206.9333257518
52,1427.9502755701674,52.04975749872091,0.9644682830420098,531.9056563210337,2781.2861103340783,889199.0006400683
53,1480.9673673200055,53.017091749838116,0.9673342511172116,551.8600925392127,2798.7377731832944,891220.2594815049
54,1534.9548350577543,53.98746773774895,0.970375987910835,572.2464442505119,2816.8637985967134,893271.1102119066
55,1589.915901239983,54.96106618222853,0.9735984444795798,593.0720887020765,2835.680787553782,895351.9774193435
56,1645.8545150383507,55.93861379836766,0.9775476161391332,614.3566842282112,2856.6225250049647,897987.5519267559
57,1702.7754920421683,56.92097700381763,0.9823632054499681,636.1241438029786,2880.065311715006,901295.1485526143
58,1760.6838347296282,57.90834268746002,0.9873656836423902,658.3842898112492,2904.241847844978,904660.4643182099
59,1819.5849304804822,58.90109575085409,0.9927530633940677,681.1518429914654,2929.675910827461,908111.5281817819
60,1879.484344853207,59.89941437272498,0.9983186218708907,704.4372946086105,2955.833613143588,911602.6600888125
